grupo,paquete,cve_cobertura,nombre,tipo,sa_valor,sa_unidad,ded_valor,ded_unidad
AUTO,AMPLIA,0000000893,Accidentes al Conductor,OPCIONAL,100000,Importe,N/A,N/A
AUTO,LIMITADA,0000000893,Accidentes al Conductor,OPCIONAL,100000,Importe,N/A,N/A
AUTO,PREMIUM,0000000893,Accidentes al Conductor,OPCIONAL,100000,Importe,N/A,N/A
AUTO,AMPLIA TOTAL,0000000893,Accidentes al Conductor,OPCIONAL,100000,Importe,N/A,N/A
AUTO,AMPLIA,0000000894,Adap. Conversiones y Equipo Esp.,OPCIONAL,Amparada,Importe,25,Porcentaje
AUTO,LIMITADA,0000000894,Adap. Conversiones y Equipo Esp.,OPCIONAL,Amparada,Importe,25,Porcentaje
AUTO,PREMIUM,0000000894,Adap. Conversiones y Equipo Esp.,OPCIONAL,Amparada,Importe,25,Porcentaje
AUTO,AMPLIA TOTAL,0000000894,Adap. Conversiones y Equipo Esp.,OPCIONAL,Amparada,Importe,25,Porcentaje
AUTO,AMPLIA,0000001414,Auto Sustituto,OPCIONAL,10,Días,N/A,N/A
AUTO,AUTO ELITE,0000001414,Auto Sustituto,BASICA,10,Días,N/A,N/A
AUTO,AMPLIA TOTAL,0000001414,Auto Sustituto,OPCIONAL,10,Días,N/A,N/A
AUTO,AMPLIA,0000001415,Auto Sustituto Plus,OPCIONAL,10,Días,N/A,N/A
AUTO,PREMIUM,0000001415,Auto Sustituto Plus,BASICA,10,Días,N/A,N/A
AUTO,AMPLIA TOTAL,0000001415,Auto Sustituto Plus,OPCIONAL,10,Días,N/A,N/A
AUTO,AMPLIA,0000001348,Ayuda para Pérdidas Totales,OPCIONAL,7500,Importe,N/A,N/A
AUTO,LIMITADA,0000001348,Ayuda para Pérdidas Totales,OPCIONAL,7500,Importe,N/A,N/A
AUTO,PREMIUM,0000001348,Ayuda para Pérdidas Totales,OPCIONAL,7500,Importe,N/A,N/A
AUTO,AMPLIA TOTAL,0000001348,Ayuda para Pérdidas Totales,OPCIONAL,7500,Importe,N/A,N/A
AUTO,AMPLIA,0000001268,Club GNP,BASICA,Amparada,N/A,N/A,N/A
AUTO,LIMITADA,0000001268,Club GNP,BASICA,Amparada,N/A,N/A,N/A
AUTO,RESPONSABILIDAD CIVIL,0000001268,Club GNP,BASICA,Amparada,N/A,N/A,N/A
AUTO,PREMIUM,0000001268,Club GNP,BASICA,Amparada,N/A,N/A,N/A
AUTO,AMPLIA TOTAL,0000001268,Club GNP,BASICA,Amparada,N/A,N/A,N/A
AUTO,AMPLIA,0000000891,Cristales,BASICA,Amparada,N/A,20,Porcentaje
AUTO,PREMIUM,0000000891,Cristales,BASICA,Amparada,N/A,20,Porcentaje
AUTO,AMPLIA TOTAL,0000000891,Cristales,BASICA,Amparada,N/A,20,Porcentaje
AUTO,AMPLIA,0000001289,Daños Materiales Pérdida Parcial,BASICA,N/A,N/A,5,Porcentaje
AUTO,PREMIUM,0000001289,Daños Materiales Pérdida Parcial,BASICA,N/A,N/A,5,Porcentaje
AUTO,AMPLIA TOTAL,0000001289,Daños Materiales Pérdida Parcial,BASICA,N/A,N/A,5,Porcentaje
AUTO,AMPLIA,0000001288,Daños Materiales Pérdida Total,BASICA,N/A,N/A,5,Porcentaje
AUTO,PREMIUM,0000001288,Daños Materiales Pérdida Total,BASICA,N/A,N/A,5,Porcentaje
