tipo_persona,paquete,procedencia,tipo_vehiculo,cve_paquete,disponible
F,AMPLIA,Residentes,AUT,PRS0009355,1
F,AMPLIA,Residentes,CA1,PRS0009357,1
F,AMPLIA,Residentes,CA2,PRS0009359,1
F,AMPLIA,Residentes,MOT,PRS0002973,1
F,AMPLIA,Legalizados,AUT,PRS0013031,1
F,AMPLIA,Legalizados,CA1,PRS0013035,1
F,AMPLIA,Legalizados,CA2,PRS0013039,1
F,AMPLIA,Legalizados,MOT,,0
F,AMPLIA,Fronterizos,AUT,PRS0013008,1
F,AMPLIA,Fronterizos,CA1,PRS0013018,1
F,AMPLIA,Fronterizos,CA2,PRS0013024,1
F,AMPLIA,Fronterizos,MOT,,0
F,AMPLIA,Clásicos,AUT,PRS0054736,1
F,AMPLIA,Clásicos,CA1,PRS0054738,1
F,AMPLIA,Clásicos,CA2,PRS0054740,1
F,AMPLIA,Clásicos,MOT,,0
F,AMPLIA,Antiguos,AUT,,0
F,AMPLIA,Antiguos,CA1,,0
F,AMPLIA,Antiguos,CA2,,0
F,AMPLIA,Antiguos,MOT,,0
F,AMPLIA,Importado,AUT,PRS0054732,1
F,AMPLIA,Importado,CA1,PRP0000312,1
F,AMPLIA,Importado,CA2,PRP0000331,1
F,AMPLIA,Importado,MOT,,0
F,AMPLIA,Blindado,AUT,PRS0024477,1
F,AMPLIA,Blindado,CA1,PRS0024480,1
F,AMPLIA,Blindado,CA2,PRS0024483,1
F,AMPLIA,Blindado,MOT,,0
F,PREMIUM,Residentes,AUT,PRS0010536,1
F,PREMIUM,Residentes,CA1,PRS0010543,1
F,PREMIUM,Residentes,CA2,,0
F,PREMIUM,Residentes,MOT,PRS0031921,1
F,PREMIUM,Legalizados,AUT,,0
F,PREMIUM,Legalizados,CA1,,0
F,PREMIUM,Legalizados,CA2,,0
F,PREMIUM,Legalizados,MOT,,0
F,PREMIUM,Fronterizos,AUT,,0
F,PREMIUM,Fronterizos,CA1,,0
F,PREMIUM,Fronterizos,CA2,,0
F,PREMIUM,Fronterizos,MOT,,0
F,PREMIUM,Clásicos,AUT,,0
F,PREMIUM,Clásicos,CA1,,0
F,PREMIUM,Clásicos,CA2,,0
F,PREMIUM,Clásicos,MOT,,0
F,PREMIUM,Antiguos,AUT,,0
F,PREMIUM,Antiguos,CA1,,0
F,PREMIUM,Antiguos,CA2,,0
F,PREMIUM,Antiguos,MOT,,0
F,PREMIUM,Importado,AUT,,0
F,PREMIUM,Importado,CA1,,0
F,PREMIUM,Importado,CA2,,0
F,PREMIUM,Importado,MOT,,0
F,PREMIUM,Blindado,AUT,PRS0024478,1
F,PREMIUM,Blindado,CA1,PRS0024482,1
F,PREMIUM,Blindado,CA2,,0
F,PREMIUM,Blindado,MOT,,0
F,LIMITADA,Residentes,AUT,PRS0009356,1
F,LIMITADA,Residentes,CA1,PRS0009358,1
F,LIMITADA,Residentes,CA2,PRS0009360,1
F,LIMITADA,Residentes,MOT,PRS0002975,1
F,LIMITADA,Legalizados,AUT,PRS0013032,1
F,LIMITADA,Legalizados,CA1,PRS0013036,1
F,LIMITADA,Legalizados,CA2,PRS0013040,1
F,LIMITADA,Legalizados,MOT,,0
F,LIMITADA,Fronterizos,AUT,PRS0013009,1
F,LIMITADA,Fronterizos,CA1,PRS0013019,1
F,LIMITADA,Fronterizos,CA2,PRS0013025,1
F,LIMITADA,Fronterizos,MOT,,0
F,LIMITADA,Clásicos,AUT,PRP0000304,1
F,LIMITADA,Clásicos,CA1,PRP0000323,1
