cve_cobertura,nombre_cobertura,aplica_a,tipo_valor,valor
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,10000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,20000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,30000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,40000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,50000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,60000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,70000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,80000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,90000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,100000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,110000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,120000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,130000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,140000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,150000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,160000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,170000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,180000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,190000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,200000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,210000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,220000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,230000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,240000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,250000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,260000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,270000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,280000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,290000
0000000893,Accidentes al Conductor,AUT_CA1_CA2,SUMA_ASEGURADA,300000
0000000894,Adap. Conversiones y Equipo Esp.,AUT_CA1_CA2,SUMA_ASEGURADA,Amparada
0000000894,Adap. Conversiones y Equipo Esp.,AUT_CA1_CA2,DEDUCIBLE,25
0000001414,Auto Sustituto,AUT_CA1_CA2,SUMA_ASEGURADA,10
0000001414,Auto Sustituto,AUT_CA1_CA2,SUMA_ASEGURADA,15
0000001414,Auto Sustituto,AUT_CA1_CA2,SUMA_ASEGURADA,20
0000001414,Auto Sustituto,AUT_CA1_CA2,SUMA_ASEGURADA,30
0000001415,Auto Sustituto Plus,AUT_CA1_CA2,SUMA_ASEGURADA,10
0000001415,Auto Sustituto Plus,AUT_CA1_CA2,SUMA_ASEGURADA,15
0000001415,Auto Sustituto Plus,AUT_CA1_CA2,SUMA_ASEGURADA,20
0000001415,Auto Sustituto Plus,AUT_CA1_CA2,SUMA_ASEGURADA,30
0000001348,Ayuda para Pérdidas Totales,AUT_CA1_CA2,SUMA_ASEGURADA,7500
